,SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
53,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,Done,12.68,-5.360119999999999,gpcr_grid,-8.20622,-3.79541,-0.420469,0,-1.1225100000000001,-39.2945,-8.08479,0.309618,0.0,-60.1289,-47.3793,23.6004
26,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,Done,7.71,-7.38283,gpcr_grid,-7.38773,-3.87307,-0.31255,0,-1.0507,-25.6004,-7.80233,0.30728099999999997,-0.00832716,-28.1639,-33.4027,25.2153
96,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,3,Done,70.25,7.83458,gpcr_grid,-8.279919999999999,-1.83874,-1.20033,0,-1.9284,-29.9175,-19.6075,1.15608,-0.0315449,-72.0933,-49.5249,6.511430000000001
0,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,4,Done,38.51,-10.0225,gpcr_grid,-10.0225,-1.72757,-0.9607690000000001,0,-2.82155,-31.6958,-22.9694,0.643368,-0.125746,-98.4979,-54.6651,2.76632
67,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,5,Done,29.95,-4.28681,gpcr_grid,-7.168810000000001,-3.1379599999999996,-0.47642299999999993,0,-0.32301799999999997,-42.3445,-11.2865,0.702849,-0.12405799999999999,-73.8748,-53.631,8.279580000000001
12,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,6,Done,22.68,-8.089269999999999,gpcr_grid,-8.093869999999999,-3.55389,-0.46051499999999995,0,-0.326023,-42.8832,-15.0634,0.700162,-0.049935900000000005,-89.8611,-57.9466,5.31016
65,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,7,Done,78.37,-4.38457,gpcr_grid,-7.37717,-2.55176,-0.938206,0,-1.82433,-25.0456,-12.7185,1.13301,-0.0358351,-52.71,-37.7641,7.120089999999999
6,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,8,Done,40.92,-8.80903,gpcr_grid,-8.81283,-2.29922,-0.9144899999999999,0,-1.97837,-24.6278,-22.5263,1.12517,-0.13558599999999998,-77.7216,-47.1541,6.565939999999999
61,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,9,Done,21.15,-4.59236,gpcr_grid,-7.474360000000001,-3.4235800000000003,-0.429393,0,-0.561388,-51.5085,-8.03411,0.720536,0.0,-82.5541,-59.5426,12.0408
5,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,10,Done,19.82,-8.89705,gpcr_grid,-8.90165,-3.26843,-0.701633,0,-0.6847,-44.6594,-17.5859,0.717907,-0.093934,-98.3867,-62.2454,10.8429
39,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,11,Done,25.99,-6.606,gpcr_grid,-7.8462,-3.6912300000000005,-0.219468,0,-1.0710899999999999,-43.7406,-10.6566,0.9520629999999999,-0.030957299999999997,-75.6599,-54.3972,12.5854
14,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,12,Done,27.5,-7.9612300000000005,gpcr_grid,-8.03923,-3.06515,-0.417824,0,-1.0991,-31.2309,-18.32,0.9478219999999999,-0.0954385,-84.6595,-49.5508,7.57143
